seq_num,time,pil1mstats2,ssacurrent,pil1M_stats1_total,pil1M_image,pil300KW_stats1_total,pil300KW_image,pil1mstats3
570,2017-10-30 20:52:48.287245000,7316537.0,0.9027633666992188,5441725.0,6eb9fda9-e28b-463f-a776-67022468ccd3,14413938.0,4c9b1067-7312-4b4f-93d5-3846101c21df,133232048.0
571,2017-10-30 20:52:53.810672000,7312403.0,0.903697967529297,5435096.0,6705f822-1640-43ea-8ada-f6e83982e5e6,14400337.0,49d16934-c142-44f8-b5c4-452881c40126,133108306.0
572,2017-10-30 20:52:59.195941000,7305447.0,0.9045867919921875,5432709.0,daddd994-97e9-44d2-a0ef-94d3c11ab13b,14387451.0,32246f02-e162-4909-a9fc-b9b7a780d0a9,133048558.0
573,2017-10-30 20:53:04.576538000,7308877.0,0.9067268371582031,5432885.0,171b3b00-8bfa-4f50-96dd-9d231de8597d,14395183.0,9f7d7d57-b2ef-4780-bd89-46b999d31bd8,133134313.0
574,2017-10-30 20:53:10.095083000,7310341.0,0.907440185546875,5430992.0,74a9815b-4a49-4210-8c81-3e0ef70b54a1,14379462.0,377b8182-7778-4e0a-bee9-23087b6a3932,133096132.0
575,2017-10-30 20:53:15.470703000,7304584.0,0.9059906005859375,5428422.0,6275ee6d-5cd6-41de-9c15-4677dd9247c1,14374904.0,59557ccc-39ae-4344-806d-a4d5e979c827,133048581.0
576,2017-10-30 20:53:20.946959000,7311480.0,0.9015350341796876,5429346.0,84917074-3cdb-4a06-919e-a6ea964b8618,14370540.0,61336b95-dc79-425e-8815-de7c24f23567,133089875.0
577,2017-10-30 20:53:26.417150000,7308828.0,0.9027748107910156,5428232.0,cf1bbd82-36ea-410e-b00f-415de52b69ca,14368961.0,c39de35d-81f9-4987-a3f5-5b72e52021ff,133087507.0
578,2017-10-30 20:53:31.961478000,7299182.0,0.9030551910400392,5421142.0,62f7afc8-944b-40e9-9267-4e77bf964b44,14364403.0,924499b3-c611-4c13-818e-027c38a41088,132948790.0
579,2017-10-30 20:53:37.344738000,7300538.0,0.9075527191162109,5424964.0,3ebbed08-0044-4b01-8856-463d57f77e44,14383642.0,90788c7e-708a-4873-8f07-59589869dd01,133056269.0
580,2017-10-30 20:53:42.727420000,7335813.0,0.9070510864257814,5446158.0,50b04277-61f8-4851-b4f3-6b5811336881,14428484.0,54c74cb4-44c0-432e-9d7a-126e2b77c9fa,133617731.0
581,2017-10-30 20:53:48.114447000,7341262.0,0.9055004119873049,5446492.0,51a11a1f-dd3f-4fd2-917a-b5e3239c60c1,14436821.0,3c07674b-eacf-4625-b075-e56659f6bc4c,133697608.0
582,2017-10-30 20:53:53.502449000,7336068.0,0.9078884124755859,5446671.0,dad74c01-993b-4949-be0b-5f3871c27a41,14426000.0,3e8d96be-c233-44be-a172-1176d052e146,133533627.0
583,2017-10-30 20:53:58.975696000,7336946.0,0.9075222015380859,5447949.0,4053b2b4-6eb8-4e30-b6bf-e6594b204c02,14413021.0,9ab38bdb-6c43-4928-bf7b-6643d347b01d,133604914.0
584,2017-10-30 20:54:04.382937000,7337793.0,0.9090156555175781,5452855.0,05aed08b-0cf0-4ba8-92f2-e6a5aabccdf4,14424853.0,23e439d8-faa8-41ef-95a0-e7ea5e98478d,133723265.0
585,2017-10-30 20:54:09.915872000,7335100.0,0.9060268402099609,5449273.0,626fb4a5-1300-4e1f-8f27-0af3a8df4cc5,14413469.0,b29f7f16-f28a-4805-8242-720834af7056,133672494.0
586,2017-10-30 20:54:15.400740000,7341278.0,0.903249740600586,5444795.0,af8cdb12-05a0-47b1-97c1-4b2fed2909db,14421992.0,c436425e-baaa-4bd1-a830-8f964ec86033,133610815.0
587,2017-10-30 20:54:20.906917000,7315086.0,0.9031009674072266,5441529.0,80cdfd74-7817-4211-b36e-5e4a0e9b89be,14399331.0,aea88a8e-00a9-4732-b655-e7494cbc5e77,133446414.0
588,2017-10-30 20:54:26.298603000,7333819.0,0.9025440216064455,5438546.0,116a15a2-045c-4f4b-81ee-88718e49bddf,14410663.0,af8a65da-f22d-4c01-bdca-5fadf20b6e67,133541045.0
589,2017-10-30 20:54:31.686357000,7325945.0,0.9076251983642578,5430573.0,363ff153-14eb-4888-8ab6-f3b801d8e7e0,14396393.0,4530e37d-9c2c-4cd0-83b3-c71a0cb7cfa9,133395853.0
590,2017-10-30 20:54:37.222352000,7326004.0,0.9057159423828125,5433215.0,461cc6fb-a926-4a80-bb86-98ae24b65668,14384318.0,fc85dd8f-b633-4d19-8048-cc6829e31267,133422248.0
591,2017-10-30 20:54:42.597998000,7331465.0,0.9037170410156251,5440385.0,b811206d-260c-436e-8c67-0a31b0d61730,14399748.0,a36dcf31-6481-431c-a767-26c4de836db9,133564804.0
592,2017-10-30 20:54:48.097193000,7319898.0,0.9030036926269531,5429412.0,9109ff46-ec7b-4152-bfa1-3ecb98dbc011,14383377.0,5441ef96-182d-4e82-b908-16f185aec776,133392296.0
593,2017-10-30 20:54:53.629787000,7331720.0,0.9038372039794924,5439312.0,71acf52b-3c94-486d-b973-856b71ab3747,14393045.0,d095f047-89a7-4794-ade3-1ca5528b8c13,133556006.0
594,2017-10-30 20:54:59.029431000,7307140.0,0.9051952362060548,5426604.0,5e9c2e8c-0a37-4746-9176-d8bb0b6e7018,14501517.0,9f42ebce-5fda-47c4-9070-de7a6632ec8e,133231655.0
595,2017-10-30 20:55:04.460678000,7315237.0,0.9031867980957031,5434901.0,84d8acdd-3697-4e7b-9ce0-59ec46f43c7e,14377015.0,5cfceb01-55df-428d-8843-4a668b78a4f5,133371880.0
596,2017-10-30 20:55:09.842447000,7326857.0,0.9029083251953125,5431863.0,937f00ff-4c16-4b9e-a3a5-a655641b203c,14390187.0,2e61020d-352e-4d8c-966e-0abd2f6161fb,133482970.0
597,2017-10-30 20:55:15.226805000,7325721.0,0.9018363952636719,5427722.0,cd11d5c7-9ef2-4259-8293-ee8b3443ff62,14380692.0,a049ddca-c428-4ea2-b594-0ee28b85ef33,133472707.0
